route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
R28,201082314890567,14890567,,910345,0,,
R8,200957714889938,14889938,,10839,0,,
R22,200959314887513,14887513,,901039,0,,
R34,201189614888939,14888939,,10452,0,,
S3,200935414889800,14889800,,900895,0,,
S11,200854814883972,14883972,,25225,0,,
R25,200989014887701,14887701,,11278,0,,
R11,200865814889462,14889462,,10165,0,,
S1,201051714890430,14890430,,24032,0,,
RE13,200833714889293,14889293,,2343,0,,
R21,201122314885845,14885845,,25307,0,,
S11,201152014886040,14886040,,25267,0,,
RE80,200948014889863,14889863,,25513,0,,
R35,201105714890711,14890711,,10563,0,,
R11,200966114887552,14887552,,10175,0,,
S50,200989414890089,14890089,,25562,0,,
R7,200958714889943,14889943,,10719,0,,
XP1,200967414889973,14889973,,900352,0,,
S5,201053614890442,14890442,,24522,0,,
S11,201097714890642,14890642,,25064,0,,
S50,200932814889779,14889779,,928330,0,,
R11,201172514891024,14891024,,10177,0,,
S8,200910414887202,14887202,,24855,0,,
R28,200844814889366,14889366,,910380,0,,
RE8,200801514889164,14889164,,2812,0,,
XP1,201035014890337,14890337,,900387,0,,
RE13,201094014888387,14888387,,2381,0,,
S1,200807214889175,14889175,,24036,0,,
RE6,200973114890005,14890005,,2602,0,,
S11,200901914889637,14889637,,25022,0,,
S6,200938114889819,14889819,,24616,0,,
S1,201173414891028,14891028,,24157,0,,
R11,200826414889270,14889270,,10178,0,,
S13,201104914890706,14890706,,24345,0,,
R22,201009714890204,14890204,,900082,0,,
S2,200995914901865,14901865,,24218,0,,
R1,200810614889195,14889195,,10134,0,,
R28,201036914890353,14890353,,910321,0,,
R21,200991314890108,14890108,,25333,0,,
RE2,200939714889833,14889833,,2233,0,,
S6,200942914902662,14902662,,24665,0,,
R38,200913514889691,14889691,,10896,0,,
S4,201082214890566,14890566,,900715,0,,
S7,201095314890637,14890637,,24765,0,,
S8,200994914890218,14890218,,24856,0,,
S9,200964914887544,14887544,,24937,0,,
S11,201102714890687,14890687,,25023,0,,
RE2,201125614890798,14890798,,2230,0,,
S1,201006514890185,14890185,,24037,0,,
R13,200865414889460,14889460,,10337,0,,
R28,201088814890617,14890617,,2985,0,,
R1,201024114887923,14887923,,10101,0,,
R28,201139114890873,14890873,,2916,0,,
S5,201004414890172,14890172,,24575,0,,
S9,200865014886918,14886918,,24915,0,,
R28,200989514890093,14890093,,2974,0,,
